"count_","properties_complianceState","properties_policyDefinitionName"
2,"Unknown","ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65"
2,"Unknown","d9af7f88-686a-5a8b-704b-eafdab278977"
2,"Unknown","7fc1f0da-0050-19bb-3d75-81ae15940df6"
2,"Unknown","e4e1f896-8a93-1151-43c7-0ad23b081ee2"
2,"Unknown","8f835d6a-4d13-9a9c-37dc-176cebd37fda"
2,"Unknown","90a156a6-49ed-18d1-1052-69aac27c05cd"
2,"Unknown","33d34fac-56a8-1c0f-0636-3ed94892a709"
2,"Unknown","b0e3035d-6366-2e37-796e-8bcab9c649e6"
2,"Unknown","1ee4c7eb-480a-0007-77ff-4ba370776266"
2,"Unknown","9c93ef57-7000-63fb-9b74-88f2e17ca5d2"
2,"Unknown","26d178a4-9261-6f04-a100-47ed85314c6e"
2,"Unknown","b8689b2e-4308-a58b-a0b4-6f3343a000df"
2,"Unknown","ece8bb17-4080-5127-915f-dc7267ee8549"
2,"Unknown","f30edfad-4e1d-1eef-27ee-9292d6d89842"
2,"Unknown","18e9d748-73d4-0c96-55ab-b108bfbd5bc3"
2,"Unknown","cc2f7339-2fac-1ea9-9ca3-cd530fbb0da2"
2,"Unknown","3f1216b0-30ee-1ac9-3899-63eb744e85f5"
2,"Unknown","8b1f29eb-1b22-4217-5337-9207cb55231e"
2,"Unknown","2af551d5-1775-326a-0589-590bfb7e9eb2"
2,"Unknown","20762f1e-85fb-31b0-a600-e833633f10fe"
2,"Unknown","cbfa1bd0-714d-8d6f-0480-2ad6a53972df"
2,"Compliant","b3a22bc9-66de-45fb-98fa-00f5df42f41a"
2,"Unknown","8aec4343-9153-9641-172c-defb201f56b3"
2,"Compliant","abda6d70-9778-44e7-84a8-06713e6db027"
2,"Unknown","6de65dc4-8b4f-34b7-9290-eb137a2e2929"
2,"Unknown","6625638f-3ba1-7404-5983-0ea33d719d34"
2,"Unknown","3a868d0c-538f-968b-0191-bddb44da5b75"
2,"Unknown","f8a63511-66f1-503f-196d-d6217ee0823a"
2,"Unknown","adf517f3-6dcd-3546-9928-34777d0c277e"
2,"Unknown","b8972f60-8d77-1cb8-686f-9c9f4cdd8a59"
2,"Unknown","27965e62-141f-8cca-426f-d09514ee5216"
2,"Unknown","b3c8cc83-20d3-3890-8bc8-5568777670f4"
2,"Unknown","10874318-0bf7-a41f-8463-03e395482080"
2,"Unknown","7ded6497-815d-6506-242b-e043e0273928"
2,"Unknown","333b4ada-4a02-0648-3d4d-d812974f1bb2"
2,"Unknown","d36700f2-2f0d-7c2a-059c-bdadd1d79f70"
2,"Unknown","a3e98638-51d4-4e28-910a-60e98c1a756f"
2,"Unknown","16c54e01-9e65-7524-7c33-beda48a75779"
2,"Unknown","2f67e567-03db-9d1f-67dc-b6ffb91312f4"
2,"Unknown","33602e78-35e3-4f06-17fb-13dd887448e4"
2,"Unknown","af227964-5b8b-22a2-9364-06d2cb9d6d7c"
